task_id,command_sent,change_index,state,timestamp,task_outputs,task_output_results,task_output_position,task_data
5789f079-fb3e-4926-bffb-601a40f13069,SingleTask,3,COMPLETE,2026-03-09T10:44:25.594+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""5789f079-fb3e-4926-bffb-601a40f13069"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
84b67902-edde-4f70-bf74-43aed0800f15,Charge,1,PENDING,2026-03-09T10:44:25.707+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""84b67902-edde-4f70-bf74-43aed0800f15"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
84b67902-edde-4f70-bf74-43aed0800f15,Charge,2,EXECUTE,2026-03-09T10:44:26.711+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""84b67902-edde-4f70-bf74-43aed0800f15"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
84b67902-edde-4f70-bf74-43aed0800f15,Charge,3,COMPLETE,2026-03-09T10:44:28.719+01:00,"{""Position"": ""0"", ""Results"": ""NavigationComplete""}",NavigationComplete,0,"{""id"": ""84b67902-edde-4f70-bf74-43aed0800f15"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NavigationComplete""}}"
a5d29bde-a1f3-4607-9a86-e65970a9d7b8,InspectRackAtStation,1,PENDING,2026-03-09T10:44:28.828+01:00,"{""Position"": ""0"", ""Results"": ""[4,5,14,22,30,31]""}","[4,5,14,22,30,31]",0,"{""id"": ""a5d29bde-a1f3-4607-9a86-e65970a9d7b8"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""[4,5,14,22,30,31]""}}"
a5d29bde-a1f3-4607-9a86-e65970a9d7b8,InspectRackAtStation,2,EXECUTE,2026-03-09T10:44:29.832+01:00,"{""Position"": ""0"", ""Results"": ""[4,5,14,22,30,31]""}","[4,5,14,22,30,31]",0,"{""id"": ""a5d29bde-a1f3-4607-9a86-e65970a9d7b8"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""[4,5,14,22,30,31]""}}"
a5d29bde-a1f3-4607-9a86-e65970a9d7b8,InspectRackAtStation,3,COMPLETE,2026-03-09T10:44:30.836+01:00,"{""Position"": ""0"", ""Results"": ""[4,5,14,22,30,31]""}","[4,5,14,22,30,31]",0,"{""id"": ""a5d29bde-a1f3-4607-9a86-e65970a9d7b8"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""[4,5,14,22,30,31]""}}"
aad7e8bb-632a-409c-9438-482a48f26111,SingleTask,1,PENDING,2026-03-09T10:44:30.964+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""aad7e8bb-632a-409c-9438-482a48f26111"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
aad7e8bb-632a-409c-9438-482a48f26111,SingleTask,2,EXECUTE,2026-03-09T10:44:31.969+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""aad7e8bb-632a-409c-9438-482a48f26111"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
aad7e8bb-632a-409c-9438-482a48f26111,SingleTask,3,COMPLETE,2026-03-09T10:44:32.974+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""aad7e8bb-632a-409c-9438-482a48f26111"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
68827baa-74bb-4397-81f9-24a07aa5a30a,SingleTask,1,PENDING,2026-03-09T10:44:32.982+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""68827baa-74bb-4397-81f9-24a07aa5a30a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
68827baa-74bb-4397-81f9-24a07aa5a30a,SingleTask,2,EXECUTE,2026-03-09T10:44:33.987+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""68827baa-74bb-4397-81f9-24a07aa5a30a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
68827baa-74bb-4397-81f9-24a07aa5a30a,SingleTask,3,COMPLETE,2026-03-09T10:44:35.993+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""68827baa-74bb-4397-81f9-24a07aa5a30a"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
f75c995f-5d0f-4b41-a522-37d80bafae62,ProcessAt3FingerStation,1,PENDING,2026-03-09T10:44:36.006+01:00,"{""Position"": ""0"", ""Results"": ""03""}",03,0,"{""id"": ""f75c995f-5d0f-4b41-a522-37d80bafae62"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""03""}}"
f75c995f-5d0f-4b41-a522-37d80bafae62,ProcessAt3FingerStation,2,EXECUTE,2026-03-09T10:44:37.011+01:00,"{""Position"": ""0"", ""Results"": ""03""}",03,0,"{""id"": ""f75c995f-5d0f-4b41-a522-37d80bafae62"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""03""}}"
f75c995f-5d0f-4b41-a522-37d80bafae62,ProcessAt3FingerStation,3,COMPLETE,2026-03-09T10:44:38.016+01:00,"{""Position"": ""0"", ""Results"": ""03""}",03,0,"{""id"": ""f75c995f-5d0f-4b41-a522-37d80bafae62"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""03""}}"
c5b05319-a1d7-4fc6-8339-6dad9fca84a2,SingleTask,1,PENDING,2026-03-09T10:44:38.025+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""c5b05319-a1d7-4fc6-8339-6dad9fca84a2"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
c5b05319-a1d7-4fc6-8339-6dad9fca84a2,SingleTask,2,EXECUTE,2026-03-09T10:44:39.029+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""c5b05319-a1d7-4fc6-8339-6dad9fca84a2"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
c5b05319-a1d7-4fc6-8339-6dad9fca84a2,SingleTask,3,COMPLETE,2026-03-09T10:44:40.033+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""c5b05319-a1d7-4fc6-8339-6dad9fca84a2"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
2f0f8a5a-399b-4de2-b74d-7c68ea419621,SingleTask,1,PENDING,2026-03-09T10:44:40.041+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""2f0f8a5a-399b-4de2-b74d-7c68ea419621"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
2f0f8a5a-399b-4de2-b74d-7c68ea419621,SingleTask,2,EXECUTE,2026-03-09T10:44:41.046+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""2f0f8a5a-399b-4de2-b74d-7c68ea419621"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
2f0f8a5a-399b-4de2-b74d-7c68ea419621,SingleTask,3,COMPLETE,2026-03-09T10:44:42.050+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""2f0f8a5a-399b-4de2-b74d-7c68ea419621"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
47f88a63-20a9-4524-9584-a257e7a79e56,SingleTask,1,PENDING,2026-03-09T10:44:42.064+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""47f88a63-20a9-4524-9584-a257e7a79e56"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
47f88a63-20a9-4524-9584-a257e7a79e56,SingleTask,2,EXECUTE,2026-03-09T10:44:43.070+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""47f88a63-20a9-4524-9584-a257e7a79e56"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
47f88a63-20a9-4524-9584-a257e7a79e56,SingleTask,3,COMPLETE,2026-03-09T10:44:44.080+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""47f88a63-20a9-4524-9584-a257e7a79e56"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
bb05d9cf-b204-41c9-85ff-e47f5dde9ba1,SingleTask,1,PENDING,2026-03-09T10:44:44.088+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""bb05d9cf-b204-41c9-85ff-e47f5dde9ba1"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
bb05d9cf-b204-41c9-85ff-e47f5dde9ba1,SingleTask,2,EXECUTE,2026-03-09T10:44:45.093+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""bb05d9cf-b204-41c9-85ff-e47f5dde9ba1"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
bb05d9cf-b204-41c9-85ff-e47f5dde9ba1,SingleTask,3,COMPLETE,2026-03-09T10:44:46.097+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""bb05d9cf-b204-41c9-85ff-e47f5dde9ba1"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
e234a222-0a8d-4578-8439-6a55d95b9d63,ProcessAt3FingerStation,1,PENDING,2026-03-09T10:44:46.109+01:00,"{""Position"": ""0"", ""Results"": ""NONE""}",NONE,0,"{""id"": ""e234a222-0a8d-4578-8439-6a55d95b9d63"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NONE""}}"
e234a222-0a8d-4578-8439-6a55d95b9d63,ProcessAt3FingerStation,2,EXECUTE,2026-03-09T10:44:47.115+01:00,"{""Position"": ""0"", ""Results"": ""NONE""}",NONE,0,"{""id"": ""e234a222-0a8d-4578-8439-6a55d95b9d63"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NONE""}}"
e234a222-0a8d-4578-8439-6a55d95b9d63,ProcessAt3FingerStation,3,COMPLETE,2026-03-09T10:44:48.121+01:00,"{""Position"": ""0"", ""Results"": ""NONE""}",NONE,0,"{""id"": ""e234a222-0a8d-4578-8439-6a55d95b9d63"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": ""NONE""}}"
9fd6deee-7e71-4ad7-8da5-ef6affdd693e,SingleTask,1,PENDING,2026-03-09T10:44:48.129+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""9fd6deee-7e71-4ad7-8da5-ef6affdd693e"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
9fd6deee-7e71-4ad7-8da5-ef6affdd693e,SingleTask,2,EXECUTE,2026-03-09T10:44:49.134+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""9fd6deee-7e71-4ad7-8da5-ef6affdd693e"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
9fd6deee-7e71-4ad7-8da5-ef6affdd693e,SingleTask,3,COMPLETE,2026-03-09T10:44:50.140+01:00,"{""Position"": ""0"", ""Results"": """"}",,0,"{""id"": ""9fd6deee-7e71-4ad7-8da5-ef6affdd693e"", ""status"": ""COMPLETE"", ""error"": ""null"", ""outputs"": {""Position"": ""0"", ""Results"": """"}}"
